DATE,NAME_0,N,SCORE
2022-01-01,Argentina,59944,0.6290866741291873
2022-01-01,Bolivia,762,0.6819508622047245
2022-01-01,Brazil,266417,0.5980041273905193
2022-01-01,Chile,19967,0.6721721600140231
2022-01-01,Colombia,28866,0.6462128708515209
2022-01-01,Ecuador,5493,0.6709079137083561
2022-01-01,Paraguay,5414,0.6520969920576284
2022-01-01,Peru,7633,0.6637196301585223
2022-01-01,Uruguay,9989,0.646619331464611
2022-01-01,Venezuela,10469,0.6978779510937052
2022-01-02,Argentina,49748,0.5804619345300314
2022-01-02,Bolivia,556,0.6110661205035971
2022-01-02,Brazil,233311,0.559035667242436
2022-01-02,Chile,16468,0.6120071603109061
2022-01-02,Colombia,22282,0.5968929274750919
2022-01-02,Ecuador,4491,0.6166004767312402
2022-01-02,Paraguay,4753,0.6000577952871871
2022-01-02,Peru,5802,0.6010483372974836
2022-01-02,Uruguay,8257,0.5996914653021679
2022-01-02,Venezuela,8897,0.6540384535236596
2022-01-03,Argentina,58818,0.5666214954605733
2022-01-03,Bolivia,840,0.6045311999999999
2022-01-03,Brazil,297114,0.5449008870938428
2022-01-03,Chile,18935,0.6031357600739371
2022-01-03,Colombia,28011,0.5905134627110777
2022-01-03,Ecuador,5132,0.6093159748636009
2022-01-03,Paraguay,6262,0.5837835408815075
2022-01-03,Peru,6386,0.5972297889132477
2022-01-03,Uruguay,8680,0.5961452793778801
2022-01-03,Venezuela,10066,0.6321907365388437
2022-01-04,Argentina,59051,0.5630204577060507
2022-01-04,Bolivia,692,0.615845171965318
2022-01-04,Brazil,277896,0.5398662933111666
2022-01-04,Chile,19476,0.6036567925652084
2022-01-04,Colombia,27801,0.5798859230962916
2022-01-04,Ecuador,5271,0.5912619472585847
2022-01-04,Paraguay,6156,0.5822313804418454
2022-01-04,Peru,6189,0.596491546130231
2022-01-04,Uruguay,9749,0.5774815291824802
2022-01-04,Venezuela,9765,0.6233718572452637
2022-01-05,Argentina,58602,0.5625536171461726
2022-01-05,Bolivia,915,0.6167165103825135
2022-01-05,Brazil,285673,0.5387015901712797
2022-01-05,Chile,22149,0.5938748389995033
2022-01-05,Colombia,28645,0.581663738069471
2022-01-05,Ecuador,5481,0.5976265272760445
2022-01-05,Paraguay,6491,0.5846907570482206
2022-01-05,Peru,7148,0.5860908626189144
2022-01-05,Uruguay,9140,0.5845994554704597
2022-01-05,Venezuela,10292,0.6211213820443063
2022-01-06,Argentina,57296,0.5690550040666015
2022-01-06,Bolivia,975,0.5762409969230771
2022-01-06,Brazil,280943,0.5395627166364707
2022-01-06,Chile,17718,0.6112932920758551
2022-01-06,Colombia,28451,0.5828443529577167
2022-01-06,Ecuador,5643,0.5975045458089668
2022-01-06,Paraguay,6296,0.5837856974269376
2022-01-06,Peru,6597,0.5853498049113234
